# X: Y:
1 1 0
2 0.961033 0.276435
3 0.869244 0.494384
4 0.858983 0.512004
5 0.814174 0.580621
6 0.722424 0.69145
7 0.717473 0.696586
8 0.675026 0.737794
9 0.418741 0.908106
10 0.252467 0.967605
11 0.167651 0.985846
12 -0.0655569 0.997849
13 -0.0864086 0.99626
14 -0.15779 0.987473
15 -0.176618 0.98428
16 -0.197756 0.980251
17 -0.363094 0.931752
18 -0.382076 0.924131
19 -0.737962 0.674843
20 -0.771564 0.636152
21 -0.870676 0.491856
22 -0.955295 0.295655
23 -0.978167 0.207822
24 -0.990889 0.134678
25 -0.996805 0.0798714
26 -0.902878 -0.429897
27 -0.765624 -0.643288
28 -0.608688 -0.79341
29 -0.495887 -0.868387
30 0.0733143 -0.997309
31 0.151658 -0.988433
32 0.344652 -0.938731
33 0.761773 -0.647844
34 0.764758 -0.644317
